,title,description,genre,published_date,authors
178,the dark room,the dark room tells three stories that of helmut a young photographer in the 1930s lore a 12yearold girl at the end of the war and micha a young school teacher half a century later between them the reader traces the legacy of the nazi period on the lives of ordinary germans,historical fiction,2002.0,rachel seiffert
179,hawkwoods sword,one of the finest writers of historical fiction in the world ben kane 1368 france spain and england prepare for war in italy the pope and the visconti princes are battling for bloody supremacy the worst years of sir william golds life are about to begin leaving the side of his commander sir john hawkwood william embarks on a new journey that will bring him fame and favour  until a heartbreaking personal tragedy leads him to put down his sword but men of war cant stay out of battle for long gold yearns to return to italy and rejoin hawkwood only now the game of the italian princes is changing and as chaos descends gold must finally decide who he stands for        praise for christian cameron the master of historical fiction sunday times a storyteller at the height of his powers historical novel society superb the times a swordslash above the rest irish examiner,historical fiction,2022.0,christian cameron
180,painting the light,from the critically acclaimed author of monticello and the widows war comes a vividly rendered historical novel of love loss and reinvention set on marthas vineyard at the turn of the nineteenth century marthas vineyard 1898 in her first life ida russell had been a painter five years ago she had confidently walked the halls of bostons renowned museum school enrolling in art courses that were once deemed unthinkable for women to take and showing a budding talent for watercolors but no more ida russell is now ida pease resident of a seaside farm on vineyard haven and wife to ezra a oncecharming man who has become an inattentive and altogether unreliable husband ezra runs a salvage company in town with his business partner mose barstow but he much prefers their nightly card games at the local pub to his work in their boston office not to mention filling haystacks and tending sheep on the farm at homeduties that have fallen to ida and their parttime farmhand lem ida meanwhile has left her love for painting behind it comes as no surprise to ida when ezra is hours late for a thanksgiving dinner only to leave abruptly for another supposedly urgent business trip to boston but then something truly unthinkable happens a storm strikes and the portland sinks ezra and mose are presumed dead in the wake of this shocking tragedy ida must settle the affairs of ezras estate a task that brings her to a familiar face from her pasthenry barstow moses brother and executor as she joins henry in sifting through the remnants of her husbands life and work ida must learn to separate truth from lies and what matters from what doesnt painting the light is an arresting portrait of a woman and a considered meditation on loss and love,historical fiction,2021.0,sally cabot gunning
181,whistlers bones,set on australias northern frontier and beyond whistlers bones is based on the true story of a fifteen year old boy who left home to become a drover in the 1880s,historical fiction,2017.0,greg barron
182,the viscount who loved me, 1 new york times bestseller the inspiration for season two of bridgerton a series created by shondaland for netflix from 1 new york times bestselling author julia quinn the story of anthony bridgerton in the second of her beloved regencyset novels featuring the charming powerful bridgerton family anthonys story this time the gossip columnists have it wrong londons most elusive bachelor anthony bridgerton hasnt just decided to marryhes even chosen a wife the only obstacle is his intendeds older sister kate sheffieldthe most meddlesome woman ever to grace a london ballroom the spirited schemer is driving anthony mad with her determination to stop the betrothal but when he closes his eyes at night kates the woman haunting his increasingly erotic dreams contrary to popular belief kate is quite sure that reformed rakes do not make the best husbandsand anthony bridgerton is the most wicked rogue of them all kates determined to protect her sisterbut she fears her own heart is vulnerable and when anthonys lips touch hers shes suddenly afraid she might not be able to resist the reprehensible rake herself,historical fiction,2022.0,julia quinn
183,the rice kings,as the only son of a wealthy mill owner in whitehaven cumbria england jonathan lucas is destined to become a millwright and a mill owner in northeast england like his father john lucas he lives a protected life behind the walls of his fathers reputation and business success the challenges of coming of age in the 1760s are soon approached by the young jonathan as he enters an apprenticeship with his uncle william lucas he travels to manchester which is far away from his mother and fathers loving care he encounters many adventures as he learns and loves his way toward adulthood and hopefully a successful career of his own jonathan must choose between two beautiful girls that enter his life in a most memorable way one is the epitome of beauty grace and refinement she is the lady that most women aspired to become in eighteenth century great britain the other is a fiery auburnheaded beauty that stirs passions deep within the men who meet her her familys background gives his parents pause concerning this most desirable woman the decision is not an easy one but one that has to be made  sooner or later the american revolution profoundly affects the fortunes of jonathans family as well as all businessmen in britain america and most of the trading nations of the world it prematurely ends the apprenticeship that he was serving with his fathers brother william it also brings a threat from an old friend of the family that is most unexpected and unwelcomed returning to whitehaven jonathan takes a wife and starts a family of his own tragedy strikes and changes the course of his life thrust into a new role as a father and head of his own household jonathan continues to be confronted with difficulties in both his business and personal life he is offered an opportunity that would not only change his future but change the world life love and destiny are put to the test as jonathan comes face to face with what could be catastrophe or incredible fame and fortune this story is the first in a series of books that will follow this important genius and his descendants as they move from merry old england to the low country of antebellum south carolina to become the rice kings follow jonathan as the abrupt changes of his world throw everything he knows into turmoil check out the website davidhenrylucasbookscom,historical fiction,2014.0,david lucas
184,bleak house,it would have been far better if you had never been born esther at 14 has never known love determined to live well earn some love and overcome the shadow of her birth she takes her first steps into an unknown world a family curse a manipulating lawyer poverty and secrets threaten to destroy esthers world are the walls of bleak house strong enough to protect her and her new friends from such powerful forces the reader will be caught up in an unfolding mystery full of surprises perhaps the biggest mystery of all is who is nemo,historical fiction,2019.0,charles dickens
185,the godmothers,big little lies set in world war ii era greenwich village an irresistible suspenseful novel about four women who marry into an elegant prosperous italian family and then must take charge of the familys business when their husbands are forced to leave them during the war meet the godmothers filomena is a clever and resourceful war refugee with a childhood secret who comes to america to wed mario the familys favored son amie a beautiful and dreamy french girl from upstate new york escapes an abusive husband after falling in love with johnny the oldest of the brothers lucy a toughasnails irish nurse ran away from a strict girls home and marries frankie the sensuous middle son and the glamorous petrina the familys only daughter graduates with honors from barnard college despite a past trauma that nearly caused a family scandal all four women become godmothers to one anothers children finding hope and shelter in this prosperous family and their sumptuous greenwich village home and enjoying new york life with its fine dining opulent department stores and sophisticated nightclubs but the womens secret pasts lead to unforeseen consequences and betrayals that threaten to unravel all their carefully laid plans and when their husbands are forced to leave them during the second world war the godmothers must unexpectedly contend with notorious gangsters like frank costello and lucky luciano who run the streets of new york city refusing to merely imitate the world of men the four godmothers learn to put aside their differences and grudges so that they can work together to protect their loved ones and to find their own unique paths to success love forgiveness and the futures theyve always dreamed of,historical fiction,2021.0,camille aubray
186,quinx or the rippers tale,i tiden efter 2 verdenskrig samles en flok sigøjnere med andre i avignon for at fejre åbningen af den mystiske hule der skal indeholde tempelherrernes skat,historical fiction,1985.0,lawrence durrell
187,the story spinner,from the sunday times bestselling author of lady of hay comes this stunning new novel barbara erskine returns with a thrilling new novel in 2024 the legends of wales have been lost to the pages of time silures 384 ad elen is a princess promised to the emperor of rome he had come to wales to find a bride or thats what legend tells camp meadow 2024 cadi is a writer who has discovered elens lost story as she puts pen to paper cadi uncovers her cottage neighbours an ancient meadow she is convinced she can hear soldiers marching  the echoes of time lingering on opening the gate to the meadow behind her house the story is about to begin,historical fiction,2024.0,barbara erskine
188,the sweet smell of decay,previously published by beautiful books but now reissued by ab alongside harry lytles continuing adventures,historical fiction,2014.0,paul lawrence
189,odysseus,the first title in an epic series following the life of odysseus a man becomes a hero    as a young boy in ithaca odysseus listens in wonder to his grandfather autolykos a man feared by many across the land as a ruthless fighter he learns of his heritage and a lifelong passion is sparked to become an adventurer and warrior in mycenae he meets king eurystheus and learns the terrible story of hercules  the man with godlike strength who slaughtered his family and punished by the king to undertake impossible tasks to earn absolution but is eurystheus the man he says he is when a child comes to odysseus in the middle of the night with another very disturbing version of what happened that fateful night odysseus embarks on the first of his extraordinary quests    so begins the epic story of odysseus the first of two volumes an adventure of love war courage and heroism weaving from a small rocky island in greece to the mighty fall of troy,historical fiction,2013.0,valerio massimo manfredi
190,mr pipes comes to america,this novel is the third volume in the mr pipes series it provides readers with a wealth of inspiring information regarding the lives of famous american hymn writers annie and drew continue their actionpacked adventures as mr pipes visits america and teaches them about great hymns from american history grades 710,historical fiction,2007.0,douglas bond
191,crossings,when liane crossed the atlantic the future seemed bright and beautiful only the image of a face haunted her new life in france then the war sent her on a second fateful crossing leaving her husband and family far behind suspended between two worlds liane was swept into a passionate love affair,historical fiction,2009.0,danielle steel
192,enemies of the heart,love passion and betrayal will tear one family apart,historical fiction,2008.0,rebecca dean
193,black mountain,eerie and compelling christos tsiolkas beginning in the sulphur mines of sicily over a century ago black mountain takes you on a journey through time and back again when a boy sold into slavery finds the courage to escape his brutal life he is saved by a mysterious stranger who raises the boy as his own renamed cesare montenero after sicilys own black mountain mount etna the boy grows up to discover that his rescue was no accident that his physical strength is unnatural and that he has more in common with his saviour than he could have imagined and when he meets the enigmatic celeste he suspects for the first time that he many not be alone based on factual events and ranging through italy paris and the rural fringes of coastal australia black mountain is a haunting exploration of what it means to be human,historical fiction,2014.0,venero armanno
194,kings fool,a remarkable insider tale of the intrigue ruthlessness and majesty of the tudor court,historical fiction,2009.0,margaret campbell barnes
195,flashman in the great game,one of literatures most delightful rakes is back in another tale of rollicking adventure and tantalizing seduction the plucky flashmans latest escapades are sure to entertain devotees as well as attract new aficionados,historical fiction,1975.0,george macdonald fraser
196,late harvest,this passionate west country smuggling saga set in the early 19thcentury is an intriguing departure for tudor mystery writer fiona buckley exmoor 1800 when farmers daughter peggy shawe meets the charismatic ralph duggan son of a socalled free trader its love at first sight determined to prevent the match peggys widowed mother sends her daughter to live with the duggans for six weeks believing she will be put off marriage to ralph when she discovers what life is like among a smuggling family matters take a dramatic turn however when ralphs brother philip is suspected of murder and ralph and philip are despatched to distant relatives across the atlantic heartbroken peggy vows to be reunited with her lover one day but it will be several years before she and ralph are destined to meet again  and in very different circumstances   ,historical fiction,2017.0,fiona buckley
197,death on a branch line,mystery fiction detective and mystery stories its the sweltering summer of 1911 and one friday evening a young aristocrat arrives into the custody of detective jim stringer a man recently found guilty of murdering his father in the sleepy village of adenwold he warns jim of another murder likely to happen in the same village  that of his brother a reclusive intellectual when jim and his wife lydia arrive at adenwold they encounter a host of likely suspects and the intended victim and suddenly jim has one weekend in which to stop a murder and unravel a conspiracy of international dimensions,historical fiction,2009.0,andrew martin
198,exiles return,the breath  taking conclusion to alison stuarts english civil war trilogy introduces a heroine with nothing left to lose and a hero with everything to gain england 1659 following the death of cromwell a new king is poised to ascend the throne of england one by one those once loyal to the crown begin to return  imprisoned exiled and tortured fugitive daniel lovell returns to england determined to kill the man who murdered his father but his plans for revenge must wait as the king has one last mission for him agnes fletchers lover is dead and when his two orphaned children are torn from her care by their scheming guardian she finds herself alone and devastated by the loss unwilling to give up agnes desperately seeks anyone willing to accompany her on a perilous journey to save the children and return them to her care she didnt plan on meeting the infamous daniel lovell she didnt plan on falling in love thrown together with separate quests  and competing obligations  daniel and agnes make their way from london to the english countryside danger at every turn when they are finally given the opportunity to seize everything they ever hoped for will they find the peace they crave or will their fledgling love be a final casualty of war,historical fiction,2016.0,alison stuart
199,coming of the storm,at first chickashaw trader black shell is intrigued by the white invaders but he soon learns of their brutality and danger,historical fiction,2010.0,kathleen oneal gear w michael gear
200,mary ann sate imbecile,i would place it among the classics of this century and the last sally bayley author of girl with dove if you tell a story oft enough so it become true as the nineteenth century draws towards a close mary ann sate an elderly maidservant sets out to write her truth she writes of the valleys that she loves of the poisonous rivalry between her employers two sons and of a terrible choice which tore her world apart her haunting and poignant story brings to life a period of strife and rapid social change and evokes the struggles of those who lived in poverty and have been forgotten by history in this fictional found memoir novelist alice jolly uses the astonishing voice of mary ann to recreate history as seen from a womans perspective and to give joyful poetic voice to the silenced women of the past,historical fiction,2018.0,alice jolly
201,the last garden in england,from the author of the light over london and the gripping moving kelly rimmer the whispers of war comes a poignant and heartwrenching tale of five women in three eras whose lives are tied together by one very special garden,historical fiction,2021.0,julia kelly
202,the betrayals,dizzyingly wonderful    a perfectly constructed work of fiction with audacious twists    collins plays her own game here with perfect skill  the times uk an intricate and utterly spellbinding literary epic brimming with enchantment mystery and dark secrets from the highly acclaimed author of the 1 international bestseller the binding if your life was based on a lie would you risk it all to tell the truth at montverre an ancient and elite academy hidden high in the mountains societys best and brightest are trained for excellence in the grand jeuthe great gamean arcane and mysterious competition that combines music art math poetry and philosophy léo martin once excelled at montverre but lost his passion for scholarly pursuits after a violent tragedy he turned to politics instead and became a rising star in the ruling party until a small act of conscience cost him his career now he has been exiled back to montverre his fate uncertain but this rarified world of learning léo once loved is not the same place he remembers once the exclusive bastion of men montverres most prestigious post is now held by a woman claire dryden also known as the magister ludi the head of the great game at first léo feels an odd attraction to the magistera mysterious eerily familiar connectionthough hes sure theyve never met before as the legendary midsummer game approachesthe climax of the academys yearlongburied secrets rise to the surface and centuriesold traditions are shockingly overturned a highly imaginative and intricately crafted literary epic the betrayals confirms bridget collins as one of the most inventive and exquisite new voices in speculative fiction,historical fiction,2021.0,bridget collins
203,lucky billy,according to legend billy the kid killed 21 men stole from wealthy cattle barons to give to the poor and wooed just about every seorita in the american southwest acclaimed historical novelist vernon digs deeply into the historical record to offer a portrait of this outlaws dramatic and violent life,historical fiction,2009.0,john vernon
204,the outcast girls,1881 girls are going missing from shardlowes school and private detective lily raynor owner of the worlds end investigation bureau is hired to investigate disguised as a nurse she joins the staff while her employee felix wilbraham remains behind lily thinks shes safe  but felix cant shake off his fear that shes in grave danger ,historical fiction,2020.0,alys clare
205,mr timothy,in louis bayards brilliantly imagined novel tiny tim of christmas carol fame has cast his crutches aside determined to cut his financial ties to his uncle ebenezer he now spends his nights dredging the thames for dead bodies and the treasure hidden in their pockets one day he comes across a girls body branded with a mysterious g then he finds another girl with a similar brand  but she is still alive determined to protect philomela and get to the bottom of the mystery tim embarks on an astonishing adventure    with wonderful characters a compelling plot and the vivid atmosphere of victorian london this pageturner is gripping from beginning to end,historical fiction,2005.0,louis bayard
206,the governors house,the story of two remarkable women united by blood but separated by time  from the author of dust of the land born in poverty transported for theft and in love with a charismatic but dangerous man  for cat haggard the tasmanian governors house is not merely a beautiful building but a symbol of all she hopes to obtain in life from convict bushranger and accused pirate cat transforms herself into an entrepreneur and pillar of colonial tasmanian society but how is she connected to a missing ship and could she be involved in the disappearance of a priceless treasure that one hundred and three years after her death will be claimed not only by a foreign government but by unscrupulous men determined to use it for their own ends joanne dean of history at the university and cats descendant is assigned the task of locating the missing artefact joanne believes the key may lie in a coded notebook she has inherited along with cats other mysteries but will she be able to decipher the message and put a centuryold secret to rest and will she survive to join her true love in the governors house  a house that has come to mean as much to her as it did to her longdead ancestor,historical fiction,2016.0,j h fletcher
207,the return of absent souls,in this stunning conclusion to the after the rift series josie and her friends return home to find glancia on the brink of war and their enemies in power with political machinations and court intrigue bringing danger at every turn they must tread carefully but being careful wont bring resolutions and answers it wont bring back lost memories or stop the nation hurtling into war the only thing that can make everything right is the ultimate sacrifice but will josie make it at the heart of it all is the magic that stole the memories of so many the magic that some people will do anything to get their hands on in a palace full of lies and betrayal josie and her friends must be careful who they trust  or suffer the consequences the return of absent souls is the final book in the after the rift series the books in order are 1 the palace of lost memories 2 the echo of broken dreams 3 the whisper of silenced voices 4 the temple of forgotten secrets 5 the prison of buried hopes 6 the return of absent souls,historical fiction,2020.0,c j archer
208,mutiny on the bounty,a british crew mutinies against the cruel commander of the bounty in 1787,historical fiction,2014.0,charles nordhoff james norman hall
209,the lady of abu simbel,despite the tremendous shock of the battle of kadesh ramses has not managed to bring the formidable hittite might to its knees rather than continue the struggle he decides to engage in negotiations at the same time he promise nefertati that two temples will be built at abu simbel,historical fiction,2000.0,christian jacq
210,the keeners,it is the first year of the potato famine ireland is dying margaret meehan who keens for the dead cannot keen for an entire country however with her young husband now wanted for murder she sets out for a new life in america and discovers the true soul of ireland,historical fiction,2004.0,maura d shaw
211,ordeal by fire,september 1143 sergeant catchpoll hopes a fire at a worcester silversmiths is just an accident but when there is a second fire and a charred corpse is discovered he has no choice but to call in the undersheriff hugh bradecote to help find the culprit with further fires a hooded figure stalking the streets and a possible murder that has gone undiscovered for some months the duo have to work together to avoid getting more than their fingers burnt in this puzzling investigation,historical fiction,2017.0,sarah hawkswood
212,surf smugglers,in the summer of 1917 us troops join the allied forces in the great war back in sunset cove oregon other battles wage anna mcdowell continues to fight old fashioned stereotypes as she runs a newspaper committed to truth despite opposition shes determined to expose ongoing rumrunning and prohibition lawlessness adding to annas frustrations her good friend dr daniel seems to run hot and cold he loves oregon and maybe anna too but hes pulled by his east coast family responsibilities even the lure of a new modern sunset cove hospital doesnt seem enough to keep him in sunset cove meanwhile annas strongwilled daughter katy continues to develop her dress shop by inviting family friend sarah rose to help out but the womans presence tests the small towns tolerance and annas concern that her daughter is growing up too fast is confirmed when katys romantic life takes an unexpected turn which anna fears is influenced by the pressure of a devastating war that is not only changing the entire world but sunset cove as well,historical fiction,2019.0,melody carlson
213,the conspiracy of evil,despite the best efforts of the pharaoh senusret and his generals the beautiful acacia tree of abydos is dying but the beautiful priestess isis has an idea to save the tree of life a new pyramid must be built in honour of osiris senusret agrees to the plan  but what the pharaoh doesnt know is that a triple conspiracy has been hatched against him on the one hand the herald the bearded devil who preaches to the desert tribes has decided to seize power by having the pharaoh murdered on the other within senusrets own court an ambitious thieving traitor is plotting to get rid of his master finally iker the scribe deceived by appearances believes that the time has come to settle his scores never has the pharaoh seemed so alone or so vulnerable and never before has the future of egypt been in such great peril,historical fiction,2006.0,christian jacq
214,the gentlemans guide to getting lucky ,the queer teen historical you didnt know was missing from your life  teen vogue on the gentlemans guide to vice and virtue in this funny and frothy novella that picks up where the new york times bestselling the gentlemans guide to vice and virtue leaves off freshly minted couple monty and percy fumble through their first time together montys epic grand tour may be over but now that he and percy are finally a couple he realizes there is something more nervewracking than being chased across europe getting together with the person you love will the romantic allure of santorini make his first time with percy magical or will all the anticipation and buildup completely spoil the mood,historical fiction,2019.0,mackenzi lee
215,the dukes princess bride,born to an indian maharaja and a british noblewoman princess sarani rao has it all beauty riches and a crown but when saranis father is murdered her only hope is the next ship outcaptained by the boy she once lovedand spurned captain rhystan huntley the reluctant duke of embry is loath to give up his life at sea but duty is calling him home and this is his final voyage leave it to fate that the one woman hes ever loved must escape to england on his ship the dukes princess bridecame along just when i needed it most theres starcrossed swoony steamy love true to the genrebut theres also a subtle searing focus on racism colorism and what it means to belong that is rare for a historical romance which elevates it to a unique and truly resonant readjodi picoult new york timesbestselling author,historical fiction,2021.0,amalie howard
216,a woman of substance,dynastic saga,historical fiction,1979.0,barbara taylor bradford
217,the sugar palace,under the clamour of the sydney harbour bridge being built nearby grace fairweather is working in her fathers grocery shop in the rocks when she begins making her own confectionery her colourful creations of toffees lollies and chocolates soon become crowd favourites and grace begins to dream of one day opening her own sweetshop when the roguish but irresistible londoner alfie sweeting comes to work for the fairweathers his ambition for her success thrills her with graces natural business acumen and alfies creative sales skills it seems like they could be the perfect pairing  in work and in love  but when alfies criminal past catches up with him both their lives come under threat and grace is forced to make the most difficult decision of all,historical fiction,2023.0,fiona mcintosh
218,to the grave,genealogist jefferson tayte wants to reunite his client with her birth mother but uncovers a secret with tragic results,historical fiction,2014.0,steve robinson
219,stork bite,from the novel everything has to be reconciled eventually caddo parish 1913 on an october morning a klansman confronts seventeenyearold david walker at a hidden oxbow lake where he has gone to hunt david accidentally kills the man and hides the crime his determination to protect his family from reprisal drives him far from home and into manhood shreveport 1927 cargie rhymes with margie barre and mae compton are two vastly different young women but both are defying convention to reach for their dreams the men in cargies and maes lives help and hinder them in more ways than one after years in hiding david walker finally resurfaces and we discover the past is never as far from the present as it seems,historical fiction,2020.0,l k simonds
220,the whisper of silenced voices,the 3rd book in the after the rift fantasy series by bestselling author cj archer,historical fiction,2019.0,c j archer
221,iron ties,in the sequel to silver lies as inez stannert struggles to deal with her shaky partnership in leadvilles silver queen saloon a missing husband and a child still back east president ulysses s grant prepares to make an appearance to celebrate the coming of the railroad but old enemies general lawlessness and ruthless competitors could ruin everything mystery  detective,historical fiction,2006.0,ann parker
222,shaking tent,shaking tent by anne michael is a historical fiction based on true events and inspired by a personal photograph taken by the authorthe story will make your cry make you mad and make your heart swell with pride in this historical novel the heroine bexley hargrove mirrors the erin brockovichsherlock holmestype efforts to search out the truth in a culture known to only a few through the mystical world of the first nations culture believing in the little people who roam the hoodoos and the fairies who live in the trees through emotional heartache and a budding love story intense family loyalty and love for the fellow man evolves in a story that keeps you guessing the story pulls you into a world unknown by mostremoteunderprivileged and beyond imagination but what exists for the people is cherished the emotional grit and tenacity of the characters succeed in winning victory for the victims at hand but there remains ongoing concerns for mankind bexley hargrove is a successful corporate lawyer at a prestigious law firm in chicago who teams up with a canadian law firm fighting for the rights of a twelve year old greatgranddaughter whose life is in limbo after her parents death the onehundredyear old greatgrandfathers claim to her guardianship is questioned after he contracts a rare cancer unexpected family reunions unveil deep secrets harbored for nearly a century as the lives of these people become entrenched in the largest class action lawsuit ever awarded in canada while a second lawsuit is about to go public this endearing story surprises the reader as the characters develop what seems to be isnt and what isnt seems to beuntil you follow the tale as it blooms and unfolds in unexpected ways the double jeopardy of the first nations people based on the irssa award and current protests of the alberta oil sands projects tug at your heartstrings the story culminates in a beautiful ending just when the reader thinks he has figured out the story something else happensa thrilling plot from beginning to end an amazing set of circumstances that should enlighten mankind to the truth of what was and what could be the tale was first inspired by a single photograph taken by the author in 1979 and further motivated by an event in 2016 when a half billion fish went belly up in the waters around chicago the author includes the emotional gutwrenching apologies of the pope the government of canada and many other religious faiths and leaves the reader wanting to do something anything to further the causes the story will make your cry make you mad and make your heart swell with pride,historical fiction,2017.0,anne michael
223,fortunes favourites,epic historical novel third in the ancient roman series following the first man in rome 1990 and the glass crown 1991 in retelling the story of spartacus and his doomed slave revolt there are interwoven the exploits of sulla the dictator pompey the descendant of an immensely powerful provincial family and the blossoming of gals julius caesar which leads to his supreme position in roman politics the author is wellknown internationally and her publications include the thorn birds and an indecent obsession,historical fiction,1993.0,colleen mccullough
224,the fallen woman,botanical artist jane saville is devastated when her manipulative mother banishes her to the countryside to protect someone elses honour isolated far from home she is forced to live an impoverished secretive life to save the family from public shame guy attwood is heir to a fortune but prefers his quiet passion for rareapple hunting on behalf of royal kew gardens to building the familys business empire he sets out to find a critically endangered apple species that he dreams of gifting and renaming for his friend the soontobe coronated george v when the paths of these people from two very different worlds collide jane begins to hope for a different future but their new friendship is shattered by jealousy misunderstanding duty and treachery a young boy will inspire jane to defy the powers working against her and prove she is no woman to be outcast set in the picturesque english countryside in a forgotten orchard and beneath the ancient spire of salisbury cathedral this is a heartwrenching story about a woman who finds that in her darkest hour she can harness her greatest strength,historical fiction,2024.0,fiona mcintosh
225,martin farrell,at a time when scotland is ruled by feuding families violence and superstition are rife when martin farrell a poor peatcutters son finds he is the joint heir of the two most powerful families in the land he is caught up in their bloody hatred,historical fiction,1994.0,janni howker
226,yseult,for the price of a truce yseult is sent to a world where magic is dying  to marry the father of the man she lovesmarcuss son drystan would have saved her from a loveless marriage but with her relatives being held hostage yseult cannot endanger them and must go through with the wedding the tragic love story of yseult and drystan plays out against the backdrop of a violent world threatening to descend into the dark ages  only arthurs battles to push back the saxon hordes can save what is left of civilization with her background yseult could act as a bridge between the old age and the new  but will the price be too highyseult is a retelling of the tragic tale of tristan and isolde a story older than romeo and juliet or lancelot and guinevere an arthurian romance with roots going back far into the realm of legend and the undying tales of king arthur from yseultonce upon a time beyond history in an age almost beyond imagination there was a girl as fair as the moon sitting on a horse and watching a fire the bonfire is a part of history but the princess is a part of legendtristan and isot tristram and isolde essyllt and drust yseult and drystan the spellings have changed but they have always been lovers  the greatest lovers the world has ever known most accounts of their story have begun with the manthis one begins with the womanpraise for ruth nestvold an excellent upandcomer cory doctorow at boing boing,historical fiction,2013.0,ruth nestvold ruth nestvoldmack
227,middlemarch,one of the most accomplished and prominent novels of the victorian era middlemarch is an unsurpassed portrait of nineteenthcentury english provincial life dorothea brooke is a young woman of fervent ideals who yearns to effect social change yet faces resistance from the society she inhabits in this epic in a small landscape eliots large cast of precisely delineated characters and the rich tapestry of their stories result in a wise compassionate and astute vision of human nature as virginia woolf declared george eliot was one of the first english novelists to discover that men and women think as well as feel and the discovery was of great artistic moment,historical fiction,1964.0,george eliot
228,angels in the gloom,its march 1916 and joseph reavley stumbling across the wastes of no mans land to rescue a comrade is badly wounded sent home on sick leave he finds recovery slow and hard his sister hannah is caring for him but he cant share the grim reality of life in the trenches with her  anxious as she is about archie her husband away at sea war is changing england at a pace that hannah finds alarming and she wonders if the old certainties will ever return but its a delight to both her and joseph when shanley corcoran an old friend comes to visit corcoran confides in joseph that hes come very close to completing an invention that will paralyse the deadly german uboats soon afterwards however disaster strikes a brilliant young scientist is found murdered and its clear that someone has been betraying secrets to the enemy josephs brother matthew of the sis comes down to investigate and together the two men embark on a search that will solve the crime and lead them to the spy,historical fiction,2005.0,anne perry
229,desired by the dukethe dukes unexpected bridehigh seas to high society,the dukes unexpected bride  lara temple sophie trevelyan has been enjoying her visit to london even if her closest companion is an overweight pug then she encounters the dashing duke of harcourt who intrigues her more than is strictly proper max knows he must marry hes looking for the opposite of his highspirited fiancée who died some years ago so he tries to keep his distance from bubbly sophie but when her life is endangered max feels compelled to rescue herwith a very unexpected proposal high seas to high society  sophia james asher wellingham duke of carisbrook was captivated by her he had happened upon lady emma seaton swimming naked and beyond her beauty had seen the deep curling scar on her thigh  a wound that could only be the mark of a sword who was this creature of contradictions something about her brought back tantalizing memories from the past her illfitting threadbare clothes concealed the body of an angel but what kind of woman truly lay behind her refined mask highborn lady or artful courtesan she intrigued him and asher wanted to possess both,historical fiction,2021.0,sophia james lara temple
230,his substitute wife,a convenient marriage blake latherop needs a wife in order to keep his business and his betrothed has apparently eloped with another man so when his fiancées sister audrey prescott steps off the train in whisper creek offering to be his bride hes in no position to refuse but its hardly the marriage he had in mind audrey knows she shouldnt have answered blakes letters in her sisters namebut she couldnt bring herself to tell him of his fiancées betrayal now the only way to fix things is through a temporary marriage but as she comes to love her new life in the west audrey dreads the day blake finds another solution to their situation because what started as a marriage of convenience has become so much more for her,historical fiction,2017.0,dorothy clark
231,the strangled queen,this was the original game of thrones george rr martin the king is dead long live the king philip iv is dead and his great kingdom is in disarray it seems the fatal curse of the templars is plaguing the royal house of france his son has been enthroned as louis x but with his disgraced wife marguerite imprisoned in the chateau gaillard for her adultery louis can produce no heir with which to secure the succession but neither can he marry again while she lives the web of scandal murder and intrigue that once wove itself around the court of the iron king continues to draw in his descendants as the destruction of his dynasty continues apace,historical fiction,2013.0,maurice druon
232,the resistance girl,the next gripping and emotional world war ii historical fiction read from international bestseller mandy robotham,historical fiction,2022.0,mandy robotham
233,the quality street wedding quality street book 3,the plucky heroines at the quality street factory must be ready for anything as war looms,historical fiction,2021.0,penny thorpe
234,warriors of god,the second volume of the hussite trilogy by the new york times bestselling author of the witcher takes reynevan  scoundrel magician possibly a fool  into the depths of war as he attempts to navigate the religious fervors of the fifteenth century when the hussite leaders entrust reynevan with a dangerous secret mission he is forced to come out of hiding in bohmeia and depart for silesia at the same time he strives to avenge the death of his brother and discover the whereabouts of his beloved once again pursued by multiple enemies he must contend with danger on every front full of gripping action replete with twists and mysteries seasoned with magic and sapkowskis everpresent wit fans of the witcher will appreciate this rich historical epic set during the hussite wars praise for the the tower of fools book one of the hussite trilogy this is historical fantasy done right publishers weekly starred review a fantastic novel that any fan of the witcher will instantly appreciate the gamer a ripping yarn delivered with worldweary wit bursting at the seams with sex death magic and madness joe abercrombie sapkowskis energetic and satirical prose as well as the unconventional setting makes this a highly enjoyable historical fantasy booklist also by andrzej sapkowski the hussite trilogy the tower of fools warriors of god witcher collections the last wish sword of destiny witcher novels blood of elves the time of contempt baptism of fire the tower of swallows lady of the lake season of storms the malady and other stories an andrzej sapkowski sampler eonly translated by david french,historical fiction,2021.0,andrzej sapkowski
